Key,Item Type,Publication Year,Author,Title,Url,Company,Model,Desired behaviour,Type of desired behaviour,Definition of desired behaviour,Source of definition,Type of source of definition,Training method for desired behaviour,Actors involved in training,Type of actor involved in training,Benchmark,Benchmark author,Benchmark author type,External evaluator,Type of external evaluator,Page
VPJH7HCT,document,,xAI,Grok 4 Model Card,,xAI,Grok 4,Honesty,,faithfully report their beliefs when pressured to lie,"Ren et al., 2025",academic,instructing the model to be honest in the system prompt,xAI,internal,MASK,"Ren et al., 2025",academic,,,4
2QJJDTJB,document,2025,xAI,Toward Comprehensive Benchmarking of the Biological Knowledge of Frontier Large Language Models,https://www.rand.org/pubs/working_papers/WRA3797-1.html,xAI,Grok 4.1,Honesty,,faithfully report their beliefs when pressured to lie,Ren et al. [2025],academic,training the model to be honest,,,MASK,"Ren et al., 2025",academic,,,3
EX5MJA8V,preprint,2024,"DeepSeek-AI; Liu, Aixin; Feng, Bei; Wang, Bin; Wang, Bingxuan; Liu, Bo; Zhao, Chenggang; Dengr, Chengqi; Ruan, Chong; Dai, Damai; Guo, Daya; Yang, Dejian; Chen, Deli; Ji, Dongjie; Li, Erhang; Lin, Fangyun; Luo, Fuli; Hao, Guangbo; Chen, Guanting; Li, Guowei; Zhang, H.; Xu, Hanwei; Yang, Hao; Zhang, Haowei; Ding, Honghui; Xin, Huajian; Gao, Huazuo; Li, Hui; Qu, Hui; Cai, J. L.; Liang, Jian; Guo, Jianzhong; Ni, Jiaqi; Li, Jiashi; Chen, Jin; Yuan, Jingyang; Qiu, Junjie; Song, Junxiao; Dong, Kai; Gao, Kaige; Guan, Kang; Wang, Lean; Zhang, Lecong; Xu, Lei; Xia, Leyi; Zhao, Liang; Zhang, Liyue; Li, Meng; Wang, Miaojun; Zhang, Mingchuan; Zhang, Minghua; Tang, Minghui; Li, Mingming; Tian, Ning; Huang, Panpan; Wang, Peiyi; Zhang, Peng; Zhu, Qihao; Chen, Qinyu; Du, Qiushi; Chen, R. J.; Jin, R. L.; Ge, Ruiqi; Pan, Ruizhe; Xu, Runxin; Chen, Ruyi; Li, S. S.; Lu, Shanghao; Zhou, Shangyan; Chen, Shanhuang; Wu, Shaoqing; Ye, Shengfeng; Ma, Shirong; Wang, Shiyu; Zhou, Shuang; Yu, Shuiping; Zhou, Shunfeng; Zheng, Size; Wang, T.; Pei, Tian; Yuan, Tian; Sun, Tianyu; Xiao, W. L.; Zeng, Wangding; An, Wei; Liu, Wen; Liang, Wenfeng; Gao, Wenjun; Zhang, Wentao; Li, X. Q.; Jin, Xiangyue; Wang, Xianzu; Bi, Xiao; Liu, Xiaodong; Wang, Xiaohan; Shen, Xiaojin; Chen, Xiaokang; Chen, Xiaosha; Nie, Xiaotao; Sun, Xiaowen; Wang, Xiaoxiang; Liu, Xin; Xie, Xin; Yu, Xingkai; Song, Xinnan; Zhou, Xinyi; Yang, Xinyu; Lu, Xuan; Su, Xuecheng; Wu, Y.; Li, Y. K.; Wei, Y. X.; Zhu, Y. X.; Xu, Yanhong; Huang, Yanping; Li, Yao; Zhao, Yao; Sun, Yaofeng; Li, Yaohui; Wang, Yaohui; Zheng, Yi; Zhang, Yichao; Xiong, Yiliang; Zhao, Yilong; He, Ying; Tang, Ying; Piao, Yishi; Dong, Yixin; Tan, Yixuan; Liu, Yiyuan; Wang, Yongji; Guo, Yongqiang; Zhu, Yuchen; Wang, Yuduan; Zou, Yuheng; Zha, Yukun; Ma, Yunxian; Yan, Yuting; You, Yuxiang; Liu, Yuxuan; Ren, Z. Z.; Ren, Zehui; Sha, Zhangli; Fu, Zhe; Huang, Zhen; Zhang, Zhen; Xie, Zhenda; Hao, Zhewen; Shao, Zhihong; Wen, Zhiniu; Xu, Zhipeng; Zhang, Zhongyu; Li, Zhuoshu; Wang, Zihan; Gu, Zihui; Li, Zilin; Xie, Ziwei","DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",http://arxiv.org/abs/2405.04434,DeepSeek-AI,DeepSeek-V2,Reasoning,Reasoning,,,,Reinforcement Learning (RL) using a reward model (RM_reasoning) trained for code and math reasoning tasks,DeepSeek-AI,internal,MATH,"Hendrycks et al., 2021",academic,,,"14, 18"
JEE3ALLC,preprint,2024,"DeepSeek-AI; Zhu, Qihao; Guo, Daya; Shao, Zhihong; Yang, Dejian; Wang, Peiyi; Xu, Runxin; Wu, Y.; Li, Yukun; Gao, Huazuo; Ma, Shirong; Zeng, Wangding; Bi, Xiao; Gu, Zihui; Xu, Hanwei; Dai, Damai; Dong, Kai; Zhang, Liyue; Piao, Yishi; Gou, Zhibin; Xie, Zhenda; Hao, Zhewen; Wang, Bingxuan; Song, Junxiao; Chen, Deli; Xie, Xin; Guan, Kang; You, Yuxiang; Liu, Aixin; Du, Qiushi; Gao, Wenjun; Lu, Xuan; Chen, Qinyu; Wang, Yaohui; Deng, Chengqi; Li, Jiashi; Zhao, Chenggang; Ruan, Chong; Luo, Fuli; Liang, Wenfeng",DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence,http://arxiv.org/abs/2406.11931,DeepSeek-AI,DeepSeek-Coder-V2,Mathematical reasoning,Reasoning,strong mathematical reasoning abilities,,,Supervised Fine-Tuning and Reinforcement Learning using Group Relative Policy Optimization (GRPO),ground-truth labels,automated systems,MATH,"Hendrycks et al., 2021",academic,,,"3, 13"
ZZY89RTG,webpage,2024,Gemma Team,Gemma model card,https://ai.google.dev/gemma/docs/core/model_card,Google,Gemma,Mathematical reasoning,Reasoning,"Ability to learn logical reasoning, symbolic representation, and to address mathematical queries.",,,Pre-training on mathematical text,Internal teams,internal,MATH,"Hendrycks et al., 2021",academic,,,
JJDZFSBE,document,2025,Google,Gemini 2.0 Flash - Model Card,,Google,Gemini 2.0 Flash,Mathematical reasoning,Reasoning,"Challenging math problems (incl. algebra, geometry, pre-calculus, and others)",,,supervised fine-tuning; reinforcement learning from human and critic feedback,,,MATH,"Hendrycks et al., 2021",academic,,,"4, 7"
3W2UY9FD,webpage,2024,Meta,Llama 3.1 model card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,Meta,Llama 3.1,Helpfulness and safety,"Helpfulness, Safety","Align with human preferences for helpfulness and safety; respects the dignity and autonomy of all users, without insertion unnecessary judgment or normativity.","Meta internal values (openness, inclusivity and helpfulness)",internal,supervised fine-tuning (SFT) and reinforcement learning with human feedback (RLHF),,,MATH,"Hendrycks et al., 2021",academic,,,
JEE3ALLC,preprint,2024,"DeepSeek-AI; Zhu, Qihao; Guo, Daya; Shao, Zhihong; Yang, Dejian; Wang, Peiyi; Xu, Runxin; Wu, Y.; Li, Yukun; Gao, Huazuo; Ma, Shirong; Zeng, Wangding; Bi, Xiao; Gu, Zihui; Xu, Hanwei; Dai, Damai; Dong, Kai; Zhang, Liyue; Piao, Yishi; Gou, Zhibin; Xie, Zhenda; Hao, Zhewen; Wang, Bingxuan; Song, Junxiao; Chen, Deli; Xie, Xin; Guan, Kang; You, Yuxiang; Liu, Aixin; Du, Qiushi; Gao, Wenjun; Lu, Xuan; Chen, Qinyu; Wang, Yaohui; Deng, Chengqi; Li, Jiashi; Zhao, Chenggang; Ruan, Chong; Luo, Fuli; Liang, Wenfeng",DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence,http://arxiv.org/abs/2406.11931,DeepSeek-AI,DeepSeek-Coder-V2,Mathematical reasoning,Reasoning,strong mathematical reasoning abilities,,,Supervised Fine-Tuning and Reinforcement Learning using Group Relative Policy Optimization (GRPO),ground-truth labels,automated systems,Math Odyssey,"Netmind.AI, 2024",private,,,"3, 13"
SUE568KL,preprint,2025,"DeepSeek-AI; Liu, Aixin; Feng, Bei; Xue, Bing; Wang, Bingxuan; Wu, Bochao; Lu, Chengda; Zhao, Chenggang; Deng, Chengqi; Zhang, Chenyu; Ruan, Chong; Dai, Damai; Guo, Daya; Yang, Dejian; Chen, Deli; Ji, Dongjie; Li, Erhang; Lin, Fangyun; Dai, Fucong; Luo, Fuli; Hao, Guangbo; Chen, Guanting; Li, Guowei; Zhang, H.; Bao, Han; Xu, Hanwei; Wang, Haocheng; Zhang, Haowei; Ding, Honghui; Xin, Huajian; Gao, Huazuo; Li, Hui; Qu, Hui; Cai, J. L.; Liang, Jian; Guo, Jianzhong; Ni, Jiaqi; Li, Jiashi; Wang, Jiawei; Chen, Jin; Chen, Jingchang; Yuan, Jingyang; Qiu, Junjie; Li, Junlong; Song, Junxiao; Dong, Kai; Hu, Kai; Gao, Kaige; Guan, Kang; Huang, Kexin; Yu, Kuai; Wang, Lean; Zhang, Lecong; Xu, Lei; Xia, Leyi; Zhao, Liang; Wang, Litong; Zhang, Liyue; Li, Meng; Wang, Miaojun; Zhang, Mingchuan; Zhang, Minghua; Tang, Minghui; Li, Mingming; Tian, Ning; Huang, Panpan; Wang, Peiyi; Zhang, Peng; Wang, Qiancheng; Zhu, Qihao; Chen, Qinyu; Du, Qiushi; Chen, R. J.; Jin, R. L.; Ge, Ruiqi; Zhang, Ruisong; Pan, Ruizhe; Wang, Runji; Xu, Runxin; Zhang, Ruoyu; Chen, Ruyi; Li, S. S.; Lu, Shanghao; Zhou, Shangyan; Chen, Shanhuang; Wu, Shaoqing; Ye, Shengfeng; Ye, Shengfeng; Ma, Shirong; Wang, Shiyu; Zhou, Shuang; Yu, Shuiping; Zhou, Shunfeng; Pan, Shuting; Wang, T.; Yun, Tao; Pei, Tian; Sun, Tianyu; Xiao, W. L.; Zeng, Wangding; Zhao, Wanjia; An, Wei; Liu, Wen; Liang, Wenfeng; Gao, Wenjun; Yu, Wenqin; Zhang, Wentao; Li, X. Q.; Jin, Xiangyue; Wang, Xianzu; Bi, Xiao; Liu, Xiaodong; Wang, Xiaohan; Shen, Xiaojin; Chen, Xiaokang; Zhang, Xiaokang; Chen, Xiaosha; Nie, Xiaotao; Sun, Xiaowen; Wang, Xiaoxiang; Cheng, Xin; Liu, Xin; Xie, Xin; Liu, Xingchao; Yu, Xingkai; Song, Xinnan; Shan, Xinxia; Zhou, Xinyi; Yang, Xinyu; Li, Xinyuan; Su, Xuecheng; Lin, Xuheng; Li, Y. K.; Wang, Y. Q.; Wei, Y. X.; Zhu, Y. X.; Zhang, Yang; Xu, Yanhong; Xu, Yanhong; Huang, Yanping; Li, Yao; Zhao, Yao; Sun, Yaofeng; Li, Yaohui; Wang, Yaohui; Yu, Yi; Zheng, Yi; Zhang, Yichao; Shi, Yifan; Xiong, Yiliang; He, Ying; Tang, Ying; Piao, Yishi; Wang, Yisong; Tan, Yixuan; Ma, Yiyang; Liu, Yiyuan; Guo, Yongqiang; Wu, Yu; Ou, Yuan; Zhu, Yuchen; Wang, Yuduan; Gong, Yue; Zou, Yuheng; He, Yujia; Zha, Yukun; Xiong, Yunfan; Ma, Yunxian; Yan, Yuting; Luo, Yuxiang; You, Yuxiang; Liu, Yuxuan; Zhou, Yuyang; Wu, Z. F.; Ren, Z. Z.; Ren, Zehui; Sha, Zhangli; Fu, Zhe; Xu, Zhean; Huang, Zhen; Zhang, Zhen; Xie, Zhenda; Zhang, Zhengyan; Hao, Zhewen; Gou, Zhibin; Ma, Zhicheng; Yan, Zhigang; Shao, Zhihong; Xu, Zhipeng; Wu, Zhiyu; Zhang, Zhongyu; Li, Zhuoshu; Gu, Zihui; Zhu, Zijia; Liu, Zijun; Li, Zilin; Xie, Ziwei; Song, Ziyang; Gao, Ziyi; Pan, Zizheng",DeepSeek-V3 Technical Report,http://arxiv.org/abs/2412.19437,DeepSeek-AI,DeepSeek-V3,Reasoning,Reasoning,Enhance deep thinking capabilities and problem-solving abilities by expanding reasoning length and depth,,,Knowledge distillation from the DeepSeek-R1 series of models via an RL training phase and rejection sampling,DeepSeek-AI,internal,MATH-500,"Hendrycks et al., 2021",academic,,,"28, 31, 32"
IZ66N7DZ,journalArticle,2025,"DeepSeek-AI; Guo, Daya; Yang, Dejian; Zhang, Haowei; Song, Junxiao; Wang, Peiyi; Zhu, Qihao; Xu, Runxin; Zhang, Ruoyu; Ma, Shirong; Bi, Xiao; Zhang, Xiaokang; Yu, Xingkai; Wu, Yu; Wu, Z. F.; Gou, Zhibin; Shao, Zhihong; Li, Zhuoshu; Gao, Ziyi; Liu, Aixin; Xue, Bing; Wang, Bingxuan; Wu, Bochao; Feng, Bei; Lu, Chengda; Zhao, Chenggang; Deng, Chengqi; Zhang, Chenyu; Ruan, Chong; Dai, Damai; Chen, Deli; Ji, Dongjie; Li, Erhang; Lin, Fangyun; Dai, Fucong; Luo, Fuli; Hao, Guangbo; Chen, Guanting; Li, Guowei; Zhang, H.; Bao, Han; Xu, Hanwei; Wang, Haocheng; Ding, Honghui; Xin, Huajian; Gao, Huazuo; Qu, Hui; Li, Hui; Guo, Jianzhong; Li, Jiashi; Wang, Jiawei; Chen, Jingchang; Yuan, Jingyang; Qiu, Junjie; Li, Junlong; Cai, J. L.; Ni, Jiaqi; Liang, Jian; Chen, Jin; Dong, Kai; Hu, Kai; Gao, Kaige; Guan, Kang; Huang, Kexin; Yu, Kuai; Wang, Lean; Zhang, Lecong; Zhao, Liang; Wang, Litong; Zhang, Liyue; Xu, Lei; Xia, Leyi; Zhang, Mingchuan; Zhang, Minghua; Tang, Minghui; Li, Meng; Wang, Miaojun; Li, Mingming; Tian, Ning; Huang, Panpan; Zhang, Peng; Wang, Qiancheng; Chen, Qinyu; Du, Qiushi; Ge, Ruiqi; Zhang, Ruisong; Pan, Ruizhe; Wang, Runji; Chen, R. J.; Jin, R. L.; Chen, Ruyi; Lu, Shanghao; Zhou, Shangyan; Chen, Shanhuang; Ye, Shengfeng; Wang, Shiyu; Yu, Shuiping; Zhou, Shunfeng; Pan, Shuting; Li, S. S.; Zhou, Shuang; Wu, Shaoqing; Ye, Shengfeng; Yun, Tao; Pei, Tian; Sun, Tianyu; Wang, T.; Zeng, Wangding; Zhao, Wanjia; Liu, Wen; Liang, Wenfeng; Gao, Wenjun; Yu, Wenqin; Zhang, Wentao; Xiao, W. L.; An, Wei; Liu, Xiaodong; Wang, Xiaohan; Chen, Xiaokang; Nie, Xiaotao; Cheng, Xin; Liu, Xin; Xie, Xin; Liu, Xingchao; Yang, Xinyu; Li, Xinyuan; Su, Xuecheng; Lin, Xuheng; Li, X. Q.; Jin, Xiangyue; Shen, Xiaojin; Chen, Xiaosha; Sun, Xiaowen; Wang, Xiaoxiang; Song, Xinnan; Zhou, Xinyi; Wang, Xianzu; Shan, Xinxia; Li, Y. K.; Wang, Y. Q.; Wei, Y. X.; Zhang, Yang; Xu, Yanhong; Li, Yao; Zhao, Yao; Sun, Yaofeng; Wang, Yaohui; Yu, Yi; Zhang, Yichao; Shi, Yifan; Xiong, Yiliang; He, Ying; Piao, Yishi; Wang, Yisong; Tan, Yixuan; Ma, Yiyang; Liu, Yiyuan; Guo, Yongqiang; Ou, Yuan; Wang, Yuduan; Gong, Yue; Zou, Yuheng; He, Yujia; Xiong, Yunfan; Luo, Yuxiang; You, Yuxiang; Liu, Yuxuan; Zhou, Yuyang; Zhu, Y. X.; Xu, Yanhong; Huang, Yanping; Li, Yaohui; Zheng, Yi; Zhu, Yuchen; Ma, Yunxian; Tang, Ying; Zha, Yukun; Yan, Yuting; Ren, Z. Z.; Ren, Zehui; Sha, Zhangli; Fu, Zhe; Xu, Zhean; Xie, Zhenda; Zhang, Zhengyan; Hao, Zhewen; Ma, Zhicheng; Yan, Zhigang; Wu, Zhiyu; Gu, Zihui; Zhu, Zijia; Liu, Zijun; Li, Zilin; Xie, Ziwei; Song, Ziyang; Pan, Zizheng; Huang, Zhen; Xu, Zhipeng; Zhang, Zhongyu; Zhang, Zhen",DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,http://arxiv.org/abs/2501.12948,DeepSeek-AI,DeepSeek-R1,Reasoning,Reasoning,Enables complex cognitive tasks ranging from mathematical problem-solving to logical deduction and programming.,,,"Pure reinforcement learning (RL) using Group Relative Policy Optimization (GRPO), utilizing rule-based accuracy and format rewards.","Automated verifiers (compilers, rule-based checkers)",internal,MATH-500,"Lightman et al., 2024",private,,,"1-4, 8-9"
99337X5A,document,2025,Google,Gemini-3-Pro-Model-Card,,Google,Gemini 3 Pro,Challenging Math Contest problems,,,,,,,,MathArena Apex,,,,,5
EX5MJA8V,preprint,2024,"DeepSeek-AI; Liu, Aixin; Feng, Bei; Wang, Bin; Wang, Bingxuan; Liu, Bo; Zhao, Chenggang; Dengr, Chengqi; Ruan, Chong; Dai, Damai; Guo, Daya; Yang, Dejian; Chen, Deli; Ji, Dongjie; Li, Erhang; Lin, Fangyun; Luo, Fuli; Hao, Guangbo; Chen, Guanting; Li, Guowei; Zhang, H.; Xu, Hanwei; Yang, Hao; Zhang, Haowei; Ding, Honghui; Xin, Huajian; Gao, Huazuo; Li, Hui; Qu, Hui; Cai, J. L.; Liang, Jian; Guo, Jianzhong; Ni, Jiaqi; Li, Jiashi; Chen, Jin; Yuan, Jingyang; Qiu, Junjie; Song, Junxiao; Dong, Kai; Gao, Kaige; Guan, Kang; Wang, Lean; Zhang, Lecong; Xu, Lei; Xia, Leyi; Zhao, Liang; Zhang, Liyue; Li, Meng; Wang, Miaojun; Zhang, Mingchuan; Zhang, Minghua; Tang, Minghui; Li, Mingming; Tian, Ning; Huang, Panpan; Wang, Peiyi; Zhang, Peng; Zhu, Qihao; Chen, Qinyu; Du, Qiushi; Chen, R. J.; Jin, R. L.; Ge, Ruiqi; Pan, Ruizhe; Xu, Runxin; Chen, Ruyi; Li, S. S.; Lu, Shanghao; Zhou, Shangyan; Chen, Shanhuang; Wu, Shaoqing; Ye, Shengfeng; Ma, Shirong; Wang, Shiyu; Zhou, Shuang; Yu, Shuiping; Zhou, Shunfeng; Zheng, Size; Wang, T.; Pei, Tian; Yuan, Tian; Sun, Tianyu; Xiao, W. L.; Zeng, Wangding; An, Wei; Liu, Wen; Liang, Wenfeng; Gao, Wenjun; Zhang, Wentao; Li, X. Q.; Jin, Xiangyue; Wang, Xianzu; Bi, Xiao; Liu, Xiaodong; Wang, Xiaohan; Shen, Xiaojin; Chen, Xiaokang; Chen, Xiaosha; Nie, Xiaotao; Sun, Xiaowen; Wang, Xiaoxiang; Liu, Xin; Xie, Xin; Yu, Xingkai; Song, Xinnan; Zhou, Xinyi; Yang, Xinyu; Lu, Xuan; Su, Xuecheng; Wu, Y.; Li, Y. K.; Wei, Y. X.; Zhu, Y. X.; Xu, Yanhong; Huang, Yanping; Li, Yao; Zhao, Yao; Sun, Yaofeng; Li, Yaohui; Wang, Yaohui; Zheng, Yi; Zhang, Yichao; Xiong, Yiliang; Zhao, Yilong; He, Ying; Tang, Ying; Piao, Yishi; Dong, Yixin; Tan, Yixuan; Liu, Yiyuan; Wang, Yongji; Guo, Yongqiang; Zhu, Yuchen; Wang, Yuduan; Zou, Yuheng; Zha, Yukun; Ma, Yunxian; Yan, Yuting; You, Yuxiang; Liu, Yuxuan; Ren, Z. Z.; Ren, Zehui; Sha, Zhangli; Fu, Zhe; Huang, Zhen; Zhang, Zhen; Xie, Zhenda; Hao, Zhewen; Shao, Zhihong; Wen, Zhiniu; Xu, Zhipeng; Zhang, Zhongyu; Li, Zhuoshu; Wang, Zihan; Gu, Zihui; Li, Zilin; Xie, Ziwei","DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",http://arxiv.org/abs/2405.04434,DeepSeek-AI,DeepSeek-V2,Reasoning,Reasoning,,,,Reinforcement Learning (RL) using a reward model (RM_reasoning) trained for code and math reasoning tasks,DeepSeek-AI,internal,MBPP,"Austin et al., 2021",academic,,,14
3W2UY9FD,webpage,2024,Meta,Llama 3.1 model card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,Meta,Llama 3.1,Helpfulness and safety,"Helpfulness, Safety","Align with human preferences for helpfulness and safety; respects the dignity and autonomy of all users, without insertion unnecessary judgment or normativity.","Meta internal values (openness, inclusivity and helpfulness)",internal,supervised fine-tuning (SFT) and reinforcement learning with human feedback (RLHF),,,MBPP ++ base version,,,,,
